# This file was produced by: bcftools roh(1.15.1+htslib-1.15.1)
# The command line was:	bcftools roh -G30 --estimate-AF - --rec-rate 1e-9 --skip-indels -O r -o /projects/mjolnir1/people/qvw641/CottonTop/ROHs///BcfToolsRoh_alt04recomb_1e-9_final_AF.txt /projects/mjolnir1/people/qvw641/CottonTop/VCF/Filter/CTT_onlyCTT_filter.vcf.gz
#
# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
RG	13_FMNH_69267	CM038409.1	40850952	41186367	335416	764	66.5
RG	13_FMNH_69267	CM038409.1	42384780	42533304	148525	296	32.8
RG	13_FMNH_69267	CM038409.1	42656365	42887462	231098	588	83.6
RG	13_FMNH_69267	CM038409.1	43114507	43410764	296258	614	32.4
RG	13_FMNH_69267	CM038409.1	43634339	43852031	217693	376	76.0
RG	13_FMNH_69267	CM038409.1	44109300	44533352	424053	725	84.5
RG	13_FMNH_69267	CM038409.1	44981629	45640827	659199	1219	88.5
RG	13_FMNH_69267	CM038409.1	45929465	46479288	549824	998	79.3
RG	13_FMNH_69267	CM038409.1	46661486	46765647	104162	207	60.8
RG	13_FMNH_69267	CM038409.1	47711669	47993992	282324	492	78.5
RG	13_FMNH_69267	CM038409.1	51092089	51387134	295046	487	75.5
RG	14_FMNH_69268	CM038409.1	116934	721535	604602	618	79.7
RG	14_FMNH_69268	CM038409.1	1219775	1627568	407794	475	77.0
RG	14_FMNH_69268	CM038409.1	3078562	3360518	281957	366	45.5
RG	14_FMNH_69268	CM038409.1	4151203	4907919	756717	1260	88.8
RG	14_FMNH_69268	CM038409.1	5255821	5706035	450215	621	74.2
RG	14_FMNH_69268	CM038409.1	6568127	7826275	1258149	1380	88.9
RG	14_FMNH_69268	CM038409.1	9663840	9877003	213164	258	30.0
RG	14_FMNH_69268	CM038409.1	11218626	11986850	768225	892	94.1
RG	14_FMNH_69268	CM038409.1	12256372	12445162	188791	279	40.1
RG	14_FMNH_69268	CM038409.1	12738351	13595148	856798	1127	92.5
RG	14_FMNH_69268	CM038409.1	14029977	15038358	1008382	1317	83.7
RG	14_FMNH_69268	CM038409.1	16102049	16353664	251616	417	70.4
RG	14_FMNH_69268	CM038409.1	17791192	17964565	173374	343	47.9
RG	14_FMNH_69268	CM038409.1	18536748	18886346	349599	836	77.9
RG	14_FMNH_69268	CM038409.1	19229996	19305823	75828	156	27.8
RG	14_FMNH_69268	CM038409.1	21000630	21086097	85468	137	30.1
RG	14_FMNH_69268	CM038409.1	23552561	23836464	283904	380	23.9
RG	14_FMNH_69268	CM038409.1	24269800	24502008	232209	513	92.5
RG	14_FMNH_69268	CM038409.1	24566360	24701601	135242	323	72.9
RG	14_FMNH_69268	CM038409.1	25286491	25604380	317890	921	26.8
RG	14_FMNH_69268	CM038409.1	26988854	27135188	146335	411	18.6
RG	14_FMNH_69268	CM038409.1	31445633	31704103	258471	525	63.5
RG	14_FMNH_69268	CM038409.1	35416325	35941736	525412	879	34.3
RG	14_FMNH_69268	CM038409.1	36958914	37502980	544067	754	79.8
RG	14_FMNH_69268	CM038409.1	38154033	38390343	236311	318	61.2
RG	14_FMNH_69268	CM038409.1	39702781	40014930	312150	518	30.8
RG	14_FMNH_69268	CM038409.1	40158539	40368990	210452	345	27.0
RG	14_FMNH_69268	CM038409.1	40848545	41589999	741455	1151	89.1
RG	14_FMNH_69268	CM038409.1	42470105	42676425	206321	366	55.2
RG	14_FMNH_69268	CM038409.1	44271203	44604086	332884	356	51.0
RG	14_FMNH_69268	CM038409.1	45461678	46031204	569527	928	67.8
RG	14_FMNH_69268	CM038409.1	46252608	46479288	226681	349	20.9
RG	14_FMNH_69268	CM038409.1	46856406	47004206	147801	201	43.1
RG	14_FMNH_69268	CM038409.1	47277168	47711264	434097	757	81.7
RG	14_FMNH_69268	CM038409.1	49029244	49492569	463326	723	59.7
RG	16_FMNH_69273	CM038409.1	100915	8194921	8094007	7785	97.1
RG	16_FMNH_69273	CM038409.1	8479751	8945530	465780	408	70.3
RG	16_FMNH_69273	CM038409.1	8969874	15613502	6643629	6625	95.8
RG	16_FMNH_69273	CM038409.1	15655428	17496597	1841170	2004	94.1
RG	16_FMNH_69273	CM038409.1	18271139	18530598	259460	301	70.5
RG	16_FMNH_69273	CM038409.1	21110060	21836514	726455	982	28.8
RG	16_FMNH_69273	CM038409.1	22265782	22596034	330253	457	79.5
RG	16_FMNH_69273	CM038409.1	23283248	23653383	370136	541	56.7
RG	16_FMNH_69273	CM038409.1	24451542	25454778	1003237	1850	70.5
RG	16_FMNH_69273	CM038409.1	26073563	26532664	459102	829	37.7
RG	16_FMNH_69273	CM038409.1	27220032	27522772	302741	483	40.9
RG	16_FMNH_69273	CM038409.1	28430913	28531294	100382	251	36.6
RG	16_FMNH_69273	CM038409.1	28851722	29020115	168394	459	36.7
RG	16_FMNH_69273	CM038409.1	29943892	30092471	148580	270	25.4
RG	16_FMNH_69273	CM038409.1	31507231	31770759	263529	378	71.3
RG	16_FMNH_69273	CM038409.1	33691203	34414636	723434	700	52.4
RG	16_FMNH_69273	CM038409.1	36952825	37124954	172130	168	36.3
RG	16_FMNH_69273	CM038409.1	39372520	39848768	476249	486	74.3
RG	16_FMNH_69273	CM038409.1	40178461	41750930	1572470	1787	93.8
RG	16_FMNH_69273	CM038409.1	42523183	42666186	143004	190	21.8
RG	16_FMNH_69273	CM038409.1	45929465	46479288	549824	643	78.5
RG	16_FMNH_69273	CM038409.1	46840074	48248820	1408747	1495	86.1
RG	16_FMNH_69273	CM038409.1	49351813	52307459	2955647	2898	95.5
RG	19_FMNH_69277	CM038409.1	1229629	1394067	164439	243	64.4
RG	19_FMNH_69277	CM038409.1	7796297	8215529	419233	734	89.0
RG	19_FMNH_69277	CM038409.1	10989852	11131847	141996	245	14.6
RG	19_FMNH_69277	CM038409.1	11723402	11990583	267182	455	33.7
RG	19_FMNH_69277	CM038409.1	12276051	12672442	396392	695	77.8
RG	19_FMNH_69277	CM038409.1	13282177	13672418	390242	491	55.8
RG	19_FMNH_69277	CM038409.1	13852078	14369531	517454	898	85.2
RG	19_FMNH_69277	CM038409.1	18846695	18943736	97042	281	12.9
RG	19_FMNH_69277	CM038409.1	19231873	19364714	132842	231	63.3
RG	19_FMNH_69277	CM038409.1	23026428	23260319	233892	591	29.4
RG	19_FMNH_69277	CM038409.1	25136180	25452563	316384	856	69.7
RG	19_FMNH_69277	CM038409.1	28424322	28480795	56474	191	26.3
RG	19_FMNH_69277	CM038409.1	28874116	29023818	149703	487	20.5
RG	19_FMNH_69277	CM038409.1	33886397	34194224	307828	442	75.3
RG	19_FMNH_69277	CM038409.1	34260803	34472477	211675	317	71.3
RG	19_FMNH_69277	CM038409.1	34496209	34808377	312169	588	88.5
RG	19_FMNH_69277	CM038409.1	35381445	35491058	109614	164	71.5
RG	19_FMNH_69277	CM038409.1	36201741	36720734	518994	953	48.9
RG	19_FMNH_69277	CM038409.1	36960903	37262837	301935	531	85.7
RG	19_FMNH_69277	CM038409.1	39477033	39800056	323024	524	74.1
RG	19_FMNH_69277	CM038409.1	41272187	41441193	169007	313	81.8
RG	19_FMNH_69277	CM038409.1	44681210	45390140	708931	1167	59.5
RG	19_FMNH_69277	CM038409.1	46038475	46470144	431670	751	75.0
RG	19_FMNH_69277	CM038409.1	46498021	46648650	150630	285	61.6
RG	19_FMNH_69277	CM038409.1	46893615	47037135	143521	192	59.2
RG	19_FMNH_69277	CM038409.1	47632872	47769861	136990	350	26.2
RG	19_FMNH_69277	CM038409.1	48491029	48926170	435142	782	70.3
RG	19_FMNH_69277	CM038409.1	49480983	51399146	1918164	3272	94.3
RG	19_FMNH_69277	CM038409.1	51828911	52299566	470656	330	13.9
RG	20_FMNH_69278	CM038409.1	673864	1072990	399127	300	26.8
RG	20_FMNH_69278	CM038409.1	3078569	3431780	353212	375	69.8
RG	20_FMNH_69278	CM038409.1	4010141	7204589	3194449	3901	94.5
RG	20_FMNH_69278	CM038409.1	7558449	8030529	472081	553	85.6
RG	20_FMNH_69278	CM038409.1	8481955	8946983	465029	486	64.8
RG	20_FMNH_69278	CM038409.1	8969874	11591715	2621842	3198	97.3
RG	20_FMNH_69278	CM038409.1	13263218	14294060	1030843	942	82.3
RG	20_FMNH_69278	CM038409.1	14565895	15242361	676467	550	75.7
RG	20_FMNH_69278	CM038409.1	16572148	17027516	455369	428	9.1
RG	20_FMNH_69278	CM038409.1	17244093	17569216	325124	338	42.9
RG	20_FMNH_69278	CM038409.1	18294002	18577807	283806	274	21.8
RG	20_FMNH_69278	CM038409.1	18956334	19922455	966122	1303	81.8
RG	20_FMNH_69278	CM038409.1	20635793	22613339	1977547	2625	59.7
RG	20_FMNH_69278	CM038409.1	23456656	24305737	849082	870	82.5
RG	20_FMNH_69278	CM038409.1	28114956	28182315	67360	117	23.4
RG	20_FMNH_69278	CM038409.1	28392897	29596519	1203623	1911	84.3
RG	20_FMNH_69278	CM038409.1	30031529	30440880	409352	635	81.6
RG	20_FMNH_69278	CM038409.1	31088340	31234403	146064	278	57.8
RG	20_FMNH_69278	CM038409.1	31427406	31962987	535582	931	44.4
RG	20_FMNH_69278	CM038409.1	33706189	34195230	489042	490	63.9
RG	20_FMNH_69278	CM038409.1	35567743	36202274	634532	972	74.1
RG	20_FMNH_69278	CM038409.1	36473100	37331961	858862	984	83.4
RG	20_FMNH_69278	CM038409.1	38160026	39449749	1289724	1303	60.8
RG	20_FMNH_69278	CM038409.1	39601186	40076573	475388	533	44.0
RG	20_FMNH_69278	CM038409.1	41556679	41789725	233047	213	64.2
RG	20_FMNH_69278	CM038409.1	43092095	43621202	529108	584	69.5
RG	20_FMNH_69278	CM038409.1	43962540	44504485	541946	557	71.8
RG	20_FMNH_69278	CM038409.1	47018105	47585098	566994	691	72.6
RG	20_FMNH_69278	CM038409.1	47917512	48204134	286623	308	67.0
RG	20_FMNH_69278	CM038409.1	49012216	49317066	304851	425	71.8
RG	20_FMNH_69278	CM038409.1	49987143	50296551	309409	465	17.2
RG	20_FMNH_69278	CM038409.1	51198487	51626268	427782	474	22.9
RG	21_FMNH_69280	CM038409.1	101485	3575044	3473560	3047	56.1
RG	21_FMNH_69280	CM038409.1	4262508	4467177	204670	286	63.8
RG	21_FMNH_69280	CM038409.1	5316430	5944466	628037	600	43.8
RG	21_FMNH_69280	CM038409.1	7021649	7344264	322616	281	29.6
RG	21_FMNH_69280	CM038409.1	9634988	10447896	812909	849	77.3
RG	21_FMNH_69280	CM038409.1	11103599	12958176	1854578	1767	88.6
RG	21_FMNH_69280	CM038409.1	13703544	14781877	1078334	1084	41.0
RG	21_FMNH_69280	CM038409.1	16782285	17677844	895560	814	80.4
RG	21_FMNH_69280	CM038409.1	19329993	19903631	573639	878	79.5
RG	21_FMNH_69280	CM038409.1	20700489	26868937	6168449	9229	97.2
RG	21_FMNH_69280	CM038409.1	27427793	27624402	196610	268	57.7
RG	21_FMNH_69280	CM038409.1	28878706	30492275	1613570	2203	88.9
RG	21_FMNH_69280	CM038409.1	36680875	38076298	1395424	1613	90.3
RG	21_FMNH_69280	CM038409.1	39436795	39999615	562821	642	80.7
RG	21_FMNH_69280	CM038409.1	40187207	40753667	566461	695	61.3
RG	21_FMNH_69280	CM038409.1	44173081	44400556	227476	229	31.7
RG	21_FMNH_69280	CM038409.1	44604363	46247442	1643080	1825	72.8
RG	21_FMNH_69280	CM038409.1	46628487	47189685	561199	619	76.8
RG	21_FMNH_69280	CM038409.1	47767681	48205702	438022	414	19.1
RG	21_FMNH_69280	CM038409.1	49243336	50862621	1619286	1873	89.7
RG	23_FMNH_69284	CM038409.1	673864	1172800	498937	460	72.3
RG	23_FMNH_69284	CM038409.1	2415798	3291938	876141	755	78.1
RG	23_FMNH_69284	CM038409.1	6758597	7280064	521468	420	38.2
RG	23_FMNH_69284	CM038409.1	8743444	8945903	202460	190	8.6
RG	23_FMNH_69284	CM038409.1	12729501	12888286	158786	253	72.9
RG	23_FMNH_69284	CM038409.1	14041945	14459676	417732	520	48.6
RG	23_FMNH_69284	CM038409.1	16320422	16838206	517785	639	74.8
RG	23_FMNH_69284	CM038409.1	18317281	18621473	304193	411	79.9
RG	23_FMNH_69284	CM038409.1	19473599	19822663	349065	762	75.3
RG	23_FMNH_69284	CM038409.1	21375311	22263918	888608	1601	86.0
RG	23_FMNH_69284	CM038409.1	22580220	22835196	254977	465	66.0
RG	23_FMNH_69284	CM038409.1	24701758	24733411	31654	95	42.4
RG	23_FMNH_69284	CM038409.1	28874116	29471627	597512	1279	76.4
RG	23_FMNH_69284	CM038409.1	29617254	29686859	69606	189	67.4
RG	23_FMNH_69284	CM038409.1	33875664	34213547	337884	338	44.5
RG	23_FMNH_69284	CM038409.1	34270011	34941117	671107	783	80.4
RG	23_FMNH_69284	CM038409.1	37127495	37698302	570808	768	65.8
RG	23_FMNH_69284	CM038409.1	40896811	41174534	277724	413	11.1
RG	23_FMNH_69284	CM038409.1	41599947	42287760	687814	720	71.8
RG	23_FMNH_69284	CM038409.1	42384754	42894777	510024	720	64.5
RG	23_FMNH_69284	CM038409.1	43857234	46481122	2623889	3208	95.1
RG	23_FMNH_69284	CM038409.1	46520744	48098096	1577353	2037	93.4
RG	23_FMNH_69284	CM038409.1	49025820	49299943	274124	400	56.8
RG	23_FMNH_69284	CM038409.1	49934546	50200926	266381	443	71.0
RG	23_FMNH_69284	CM038409.1	50691487	50912038	220552	321	65.8
RG	23_FMNH_69284	CM038409.1	51641549	52306969	665421	411	43.9
RG	24_FMNH_69286	CM038409.1	109536	778380	668845	1148	88.8
RG	24_FMNH_69286	CM038409.1	787960	1173999	386040	554	73.8
RG	24_FMNH_69286	CM038409.1	3742244	3815156	72913	233	32.8
RG	24_FMNH_69286	CM038409.1	7397672	7695135	297464	609	87.7
RG	24_FMNH_69286	CM038409.1	9078130	9255452	177323	448	50.7
RG	24_FMNH_69286	CM038409.1	9920378	10200024	279647	626	91.2
RG	24_FMNH_69286	CM038409.1	12008501	12083978	75478	193	70.1
RG	24_FMNH_69286	CM038409.1	14544944	15054722	509779	864	70.0
RG	24_FMNH_69286	CM038409.1	15942389	16184714	242326	757	66.9
RG	24_FMNH_69286	CM038409.1	16346430	16571125	224696	571	28.4
RG	24_FMNH_69286	CM038409.1	16712684	17051763	339080	516	60.9
RG	24_FMNH_69286	CM038409.1	17074659	17468632	393974	688	76.6
RG	24_FMNH_69286	CM038409.1	18849598	19022573	172976	461	82.4
RG	24_FMNH_69286	CM038409.1	21548332	21723821	175490	503	61.5
RG	24_FMNH_69286	CM038409.1	23174645	23186256	11612	65	53.5
RG	24_FMNH_69286	CM038409.1	23345216	23557029	211814	556	56.2
RG	24_FMNH_69286	CM038409.1	23738094	24105606	367513	512	65.7
RG	24_FMNH_69286	CM038409.1	24841663	24944517	102855	360	21.8
RG	24_FMNH_69286	CM038409.1	35653252	35742430	89179	311	49.4
RG	24_FMNH_69286	CM038409.1	36526492	36637356	110865	372	83.6
RG	24_FMNH_69286	CM038409.1	36995941	37083501	87561	246	75.3
RG	24_FMNH_69286	CM038409.1	37633940	37895977	262038	737	90.3
RG	24_FMNH_69286	CM038409.1	38378587	38534260	155674	435	58.8
RG	24_FMNH_69286	CM038409.1	39436802	39708776	271975	517	68.3
RG	24_FMNH_69286	CM038409.1	43410764	43481730	70967	160	24.9
RG	24_FMNH_69286	CM038409.1	44467428	44527000	59573	103	10.9
RG	24_FMNH_69286	CM038409.1	45290950	45623105	332156	786	61.9
RG	24_FMNH_69286	CM038409.1	45716035	45771018	54984	215	74.5
RG	24_FMNH_69286	CM038409.1	46714388	46792541	78154	201	29.4
RG	24_FMNH_69286	CM038409.1	46821309	47020085	198777	428	77.0
RG	24_FMNH_69286	CM038409.1	47352437	47656619	304183	1016	92.7
RG	24_FMNH_69286	CM038409.1	48342164	48393749	51586	105	63.2
RG	24_FMNH_69286	CM038409.1	48491029	49010362	519334	1285	86.2
RG	24_FMNH_69286	CM038409.1	51074428	51396154	321727	614	85.5
RG	25_FMNH_69307	CM038409.1	1749194	3086285	1337092	806	75.2
RG	25_FMNH_69307	CM038409.1	4506539	7669807	3163269	2525	90.1
RG	25_FMNH_69307	CM038409.1	7728644	8036411	307768	310	29.8
RG	25_FMNH_69307	CM038409.1	9078406	10449810	1371405	1206	89.1
RG	25_FMNH_69307	CM038409.1	10919017	12446916	1527900	1138	89.4
RG	25_FMNH_69307	CM038409.1	13962866	16102789	2139924	1772	64.7
RG	25_FMNH_69307	CM038409.1	16243997	17341805	1097809	767	38.9
RG	25_FMNH_69307	CM038409.1	17833745	19836254	2002510	2024	87.3
RG	25_FMNH_69307	CM038409.1	19969782	20782746	812965	761	58.1
RG	25_FMNH_69307	CM038409.1	22213901	26385631	4171731	4499	91.6
RG	25_FMNH_69307	CM038409.1	28682635	28978499	295865	414	20.3
RG	25_FMNH_69307	CM038409.1	29345181	29690157	344977	309	33.1
RG	25_FMNH_69307	CM038409.1	30684868	32427647	1742780	1835	64.9
RG	25_FMNH_69307	CM038409.1	33859770	34004251	144482	130	23.4
RG	25_FMNH_69307	CM038409.1	35674569	36379430	704862	782	66.4
RG	25_FMNH_69307	CM038409.1	38853733	39848768	995036	797	73.5
RG	25_FMNH_69307	CM038409.1	40787395	41264054	476660	476	67.8
RG	25_FMNH_69307	CM038409.1	43785295	45598996	1813702	1510	83.7
RG	25_FMNH_69307	CM038409.1	47031889	50294755	3262867	3060	92.4
RG	25_FMNH_69307	CM038409.1	50910604	52251833	1341230	982	65.6
RG	25_FMNH_69307	CM038409.1	56884305	56896690	12386	123	86.5
RG	26_FMNH_69308	CM038409.1	5068694	5221155	152462	276	73.3
RG	26_FMNH_69308	CM038409.1	6556459	6890805	334347	371	46.0
RG	26_FMNH_69308	CM038409.1	7877134	8036411	159278	298	55.3
RG	26_FMNH_69308	CM038409.1	8977115	11555068	2577954	3565	95.3
RG	26_FMNH_69308	CM038409.1	12821364	12958176	136813	228	63.9
RG	26_FMNH_69308	CM038409.1	13194271	13600587	406317	453	75.2
RG	26_FMNH_69308	CM038409.1	13955609	14276007	320399	536	80.4
RG	26_FMNH_69308	CM038409.1	15447529	16195675	748147	1226	53.0
RG	26_FMNH_69308	CM038409.1	16410929	16642194	231266	269	68.2
RG	26_FMNH_69308	CM038409.1	16862210	16992518	130309	116	51.0
RG	26_FMNH_69308	CM038409.1	21518314	21887293	368980	649	53.0
RG	26_FMNH_69308	CM038409.1	22227119	22613339	386221	652	87.5
RG	26_FMNH_69308	CM038409.1	23117652	23413261	295610	649	71.2
RG	26_FMNH_69308	CM038409.1	24526297	24625800	99504	218	36.0
RG	26_FMNH_69308	CM038409.1	24752235	24859339	107105	228	27.1
RG	26_FMNH_69308	CM038409.1	25128981	25452563	323583	842	54.9
RG	26_FMNH_69308	CM038409.1	26459228	26826766	367539	610	81.2
RG	26_FMNH_69308	CM038409.1	26984685	27135188	150504	382	79.9
RG	26_FMNH_69308	CM038409.1	28874002	28977050	103049	251	33.4
RG	26_FMNH_69308	CM038409.1	29943892	30242666	298775	622	30.1
RG	26_FMNH_69308	CM038409.1	32519153	32806994	287842	354	49.8
RG	26_FMNH_69308	CM038409.1	33783581	34083701	300121	314	22.9
RG	26_FMNH_69308	CM038409.1	35381868	35870471	488604	759	90.6
RG	26_FMNH_69308	CM038409.1	38166734	38666362	499629	728	31.4
RG	26_FMNH_69308	CM038409.1	39027062	39250213	223152	299	76.0
RG	26_FMNH_69308	CM038409.1	39437113	39970772	533660	753	69.8
RG	26_FMNH_69308	CM038409.1	40123987	40503153	379167	586	87.1
RG	26_FMNH_69308	CM038409.1	41128147	42211728	1083582	1440	79.9
RG	26_FMNH_69308	CM038409.1	42554631	43112891	558261	771	79.8
RG	26_FMNH_69308	CM038409.1	43552650	43713898	161249	190	38.1
RG	26_FMNH_69308	CM038409.1	43992551	44544019	551469	700	74.6
RG	26_FMNH_69308	CM038409.1	46668232	46819656	151425	205	37.6
RG	26_FMNH_69308	CM038409.1	47158339	47835113	676775	1084	57.3
RG	26_FMNH_69308	CM038409.1	48065610	48324736	259127	332	65.2
RG	26_FMNH_69308	CM038409.1	50170304	50910604	740301	1327	95.4
RG	26_FMNH_69308	CM038409.1	51740804	52220996	480193	374	66.5
RG	27_FMNH_69308	CM038409.1	299155	8219530	7920376	5507	62.6
RG	27_FMNH_69308	CM038409.1	8967661	11694877	2727217	2044	80.0
RG	27_FMNH_69308	CM038409.1	12386529	14846686	2460158	1549	70.8
RG	27_FMNH_69308	CM038409.1	16492639	17643196	1150558	642	29.5
RG	27_FMNH_69308	CM038409.1	17777953	19946865	2168913	1801	43.3
RG	27_FMNH_69308	CM038409.1	21590466	26810876	5220411	4999	79.0
RG	27_FMNH_69308	CM038409.1	26985426	27135025	149600	212	72.5
RG	27_FMNH_69308	CM038409.1	28322902	29409594	1086693	1331	69.2
RG	27_FMNH_69308	CM038409.1	29751196	33307372	3556177	2932	42.4
RG	27_FMNH_69308	CM038409.1	34088177	40065808	5977632	4486	76.8
RG	27_FMNH_69308	CM038409.1	40139661	46455301	6315641	4962	87.4
RG	27_FMNH_69308	CM038409.1	46974079	48452310	1478232	1142	83.4
RG	27_FMNH_69308	CM038409.1	49384539	50042693	658155	385	53.6
RG	28_FMNH_69313	CM038409.1	1179886	3434018	2254133	2401	84.1
RG	28_FMNH_69313	CM038409.1	5383861	5621425	237565	309	65.8
RG	28_FMNH_69313	CM038409.1	7877134	8170368	293235	430	51.1
RG	28_FMNH_69313	CM038409.1	8535525	8945438	409914	385	72.8
RG	28_FMNH_69313	CM038409.1	9030772	9418574	387803	465	30.0
RG	28_FMNH_69313	CM038409.1	11053551	11626912	573362	535	80.6
RG	28_FMNH_69313	CM038409.1	14564820	15408742	843923	903	20.3
RG	28_FMNH_69313	CM038409.1	15722282	16029290	307009	427	28.3
RG	28_FMNH_69313	CM038409.1	17161253	17389165	227913	256	57.5
RG	28_FMNH_69313	CM038409.1	18770042	19097804	327763	577	73.7
RG	28_FMNH_69313	CM038409.1	20470312	20729388	259077	484	22.5
RG	28_FMNH_69313	CM038409.1	21109425	21325678	216254	314	31.2
RG	28_FMNH_69313	CM038409.1	22180516	22376794	196279	334	45.5
RG	28_FMNH_69313	CM038409.1	24964492	25443395	478904	1083	61.1
RG	28_FMNH_69313	CM038409.1	26277842	26826766	548925	944	82.8
RG	28_FMNH_69313	CM038409.1	27834794	27954917	120124	217	57.8
RG	28_FMNH_69313	CM038409.1	34034998	34478791	443794	483	71.4
RG	28_FMNH_69313	CM038409.1	35641491	36026060	384570	688	58.8
RG	28_FMNH_69313	CM038409.1	36107673	36611651	503979	809	87.7
RG	28_FMNH_69313	CM038409.1	36695093	37189918	494826	574	49.9
RG	28_FMNH_69313	CM038409.1	38773053	39409275	636223	602	57.6
RG	28_FMNH_69313	CM038409.1	39600469	40075959	475491	635	83.2
RG	28_FMNH_69313	CM038409.1	40118265	40245631	127367	144	46.1
RG	28_FMNH_69313	CM038409.1	40771055	42251887	1480833	1973	80.8
RG	28_FMNH_69313	CM038409.1	42677474	43151451	473978	633	78.7
RG	28_FMNH_69313	CM038409.1	45714823	45922915	208093	420	56.6
RG	28_FMNH_69313	CM038409.1	47146023	47389697	243675	380	83.9
RG	28_FMNH_69313	CM038409.1	47507476	47711264	203789	411	35.3
RG	28_FMNH_69313	CM038409.1	48098288	48393749	295462	353	66.0
RG	28_FMNH_69313	CM038409.1	49540641	49708599	167959	206	9.3
RG	28_FMNH_69313	CM038409.1	50950417	51263968	313552	309	33.4
RG	30_FMNH_69291	CM038409.1	937864	4434590	3496727	2690	87.2
RG	30_FMNH_69291	CM038409.1	4978219	6162077	1183859	978	78.2
RG	30_FMNH_69291	CM038409.1	7045980	8169136	1123157	854	45.4
RG	30_FMNH_69291	CM038409.1	8969928	9594265	624338	549	80.9
RG	30_FMNH_69291	CM038409.1	9919441	12673114	2753674	2282	59.1
RG	30_FMNH_69291	CM038409.1	14351474	15242361	890888	619	35.6
RG	30_FMNH_69291	CM038409.1	15721851	15988994	267144	220	19.1
RG	30_FMNH_69291	CM038409.1	16102585	17413124	1310540	1056	81.1
RG	30_FMNH_69291	CM038409.1	17851884	19560215	1708332	1682	38.8
RG	30_FMNH_69291	CM038409.1	22613643	23750478	1136836	1253	70.8
RG	30_FMNH_69291	CM038409.1	24110396	25026735	916340	1134	68.0
RG	30_FMNH_69291	CM038409.1	25882467	27135222	1252756	1526	36.7
RG	30_FMNH_69291	CM038409.1	27220032	27930728	710697	769	63.7
RG	30_FMNH_69291	CM038409.1	28975326	30243159	1267834	1189	81.4
RG	30_FMNH_69291	CM038409.1	32577809	33167266	589458	367	41.4
RG	30_FMNH_69291	CM038409.1	33769556	38025607	4256052	3589	67.7
RG	30_FMNH_69291	CM038409.1	38689737	39245330	555594	426	62.8
RG	30_FMNH_69291	CM038409.1	39626743	40073236	446494	372	40.3
RG	30_FMNH_69291	CM038409.1	40177591	45156243	4978653	4150	77.7
RG	30_FMNH_69291	CM038409.1	46795846	52124154	5328309	4773	88.3
RG	32_FMNH_69294	CM038409.1	822830	5119361	4296532	2902	74.5
RG	32_FMNH_69294	CM038409.1	5838665	7559648	1720984	1161	73.8
RG	32_FMNH_69294	CM038409.1	8479361	8946983	467623	325	30.0
RG	32_FMNH_69294	CM038409.1	8969928	13072426	4102499	2820	74.9
RG	32_FMNH_69294	CM038409.1	14350575	17027516	2676942	1721	52.8
RG	32_FMNH_69294	CM038409.1	17767814	26870687	9102874	4630	92.9
RG	32_FMNH_69294	CM038409.1	28214227	36235275	8021049	3142	90.2
RG	32_FMNH_69294	CM038409.1	36695093	39439076	2743984	1931	89.4
RG	32_FMNH_69294	CM038409.1	40141404	45510880	5369477	4540	91.8
RG	32_FMNH_69294	CM038409.1	46973335	50185468	3212134	2658	82.2
RG	32_FMNH_69294	CM038409.1	50951089	51709608	758520	641	28.2
RG	33_FMNH_69298	CM038409.1	97261	360533	263273	225	20.3
RG	33_FMNH_69298	CM038409.1	1229675	1416570	186896	290	55.5
RG	33_FMNH_69298	CM038409.1	1853073	2777324	924252	1152	84.5
RG	33_FMNH_69298	CM038409.1	3996684	4686857	690174	1145	75.2
RG	33_FMNH_69298	CM038409.1	5076804	5202291	125488	287	74.5
RG	33_FMNH_69298	CM038409.1	7029701	7381928	352228	511	63.6
RG	33_FMNH_69298	CM038409.1	7796297	8194921	398625	726	66.3
RG	33_FMNH_69298	CM038409.1	9864958	10211875	346918	602	9.9
RG	33_FMNH_69298	CM038409.1	10713740	11447204	733465	1199	91.3
RG	33_FMNH_69298	CM038409.1	11902562	11985736	83175	152	62.8
RG	33_FMNH_69298	CM038409.1	12445164	12672442	227279	422	36.9
RG	33_FMNH_69298	CM038409.1	12738503	13050887	312385	577	86.0
RG	33_FMNH_69298	CM038409.1	13258272	13633236	374965	501	76.7
RG	33_FMNH_69298	CM038409.1	14831118	15093257	262140	317	24.5
RG	33_FMNH_69298	CM038409.1	15926023	16330576	404554	830	76.1
RG	33_FMNH_69298	CM038409.1	16566219	17026046	459828	626	74.1
RG	33_FMNH_69298	CM038409.1	17106672	17496597	389926	449	45.4
RG	33_FMNH_69298	CM038409.1	18533311	18753688	220378	453	34.9
RG	33_FMNH_69298	CM038409.1	18847055	19023450	176396	378	53.5
RG	33_FMNH_69298	CM038409.1	19446601	19609884	163284	394	50.8
RG	33_FMNH_69298	CM038409.1	21569441	21857446	288006	528	62.7
RG	33_FMNH_69298	CM038409.1	22048128	22502026	453899	836	60.9
RG	33_FMNH_69298	CM038409.1	22805734	23551871	746138	1452	91.2
RG	33_FMNH_69298	CM038409.1	23718713	24226243	507531	637	71.9
RG	33_FMNH_69298	CM038409.1	24505729	24637450	131722	344	67.1
